country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,46,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,33.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Antigua and Barbuda,AG,ATG,28,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Antigua and Barbuda,AG,ATG,28,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,47.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Antigua and Barbuda,AG,ATG,28,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,35.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Argentina,AR,ARG,32,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,40.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Argentina,AR,ARG,32,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,68.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Argentina,AR,ARG,32,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,54.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Armenia,AM,ARM,51,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,8.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Armenia,AM,ARM,51,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Armenia,AM,ARM,51,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Australia,AU,AUS,36,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,57,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Australia,AU,AUS,36,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,80.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Australia,AU,AUS,36,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,69.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Austria,AT,AUT,40,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,55.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Austria,AT,AUT,40,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,80,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Austria,AT,AUT,40,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,68.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Azerbaijan,AZ,AZE,31,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,6.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Azerbaijan,AZ,AZE,31,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Azerbaijan,AZ,AZE,31,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,12.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,41.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,29.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,5.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,3.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,50.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,49.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,66.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,58,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,53.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,78.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,66.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,38.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,8.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bhutan,BT,BTN,64,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bhutan,BT,BTN,64,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bhutan,BT,BTN,64,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,43.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,31.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,21.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,46.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,34.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,10.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.7,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,29.7,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bulgaria,BG,BGR,100,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,39.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bulgaria,BG,BGR,100,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,67.7,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Bulgaria,BG,BGR,100,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,54.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,35.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,10.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,28.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cape Verde,CV,CPV,132,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,11.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cape Verde,CV,CPV,132,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,29.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cape Verde,CV,CPV,132,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,20.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cambodia,KH,KHM,116,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,10.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cambodia,KH,KHM,116,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cambodia,KH,KHM,116,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,14.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.6,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,65.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,51.7,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Central African Republic,CF,CAF,140,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,14.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Central African Republic,CF,CAF,140,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,34.6,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Central African Republic,CF,CAF,140,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chad,TD,TCD,148,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,7.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chad,TD,TCD,148,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chad,TD,TCD,148,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,40.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,68.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,54.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
China,CN,CHN,156,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
China,CN,CHN,156,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,52.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
China,CN,CHN,156,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,41.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,14.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,35.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,25,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Comoros,KM,COM,174,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Comoros,KM,COM,174,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Comoros,KM,COM,174,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Congo,CG,COG,178,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Congo,CG,COG,178,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,49.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Congo,CG,COG,178,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cook Islands,CK,COK,184,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cook Islands,CK,COK,184,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,48.7,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cook Islands,CK,COK,184,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,33.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.7,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Croatia,HR,HRV,191,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,33,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Croatia,HR,HRV,191,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,61.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Croatia,HR,HRV,191,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,47.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cuba,CU,CUB,192,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cuba,CU,CUB,192,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,44.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cuba,CU,CUB,192,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,32.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cyprus,CY,CYP,196,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,40.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cyprus,CY,CYP,196,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,68.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Cyprus,CY,CYP,196,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,55.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,51.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,77.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,64.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,25.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Korea, Democratic People's Republic of",KP,PRK,408,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Korea, Democratic People's Republic of",KP,PRK,408,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Korea, Democratic People's Republic of",KP,PRK,408,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
