country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,50.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37.7,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Andorra,AD,AND,20,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,50.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Andorra,AD,AND,20,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,76.6,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Andorra,AD,AND,20,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,64.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,21.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
